Nom de l'établissement,P-code de l'établissement,Nom de la sous-préfecture,P-code de la sous-préfecture,Nom de la préfecture,P-code de la préfecture,Nom de la région,P-code de la région,Public ou privé?,Latitude,Longitude
Poste Santé Wendou M'Bour,,Wendou Mbour,GIN00100308,Gaoual,GIN001003,Boke,GIN001,public,,
Poste Santé Wessoua,,Nzerekore Ctre,GIN00800506,Nzerekore,GIN008005,Nzerekore,GIN008,public,,
Poste Tsanti Quartier,,Beyla Ctre,GIN00800101,Beyla,GIN008001,Nzerekore,GIN008,public,,
Poudrière Centre,,Mamou Ctre,GIN00700206,Mamou,GIN007002,Mamou,GIN007,public,,
Poukou,,Gongoret,GIN00700203,Mamou,GIN007002,Mamou,GIN007,public,,
PS du HCR,,Matam,GIN00200103,Conakry,GIN002001,Conakry,GIN002,prive,,
Ranhaya Centre,,Banora,GIN00300201,Dinguiraye,GIN003002,Faranah,GIN003,public,,
Rouézou,,Balizia,GIN00800401,Macenta,GIN008004,Nzerekore,GIN008,public,,
Saabou,,Gbangbadou,GIN00300407,Kissidougou,GIN003004,Faranah,GIN003,public,,
Sabadou-Baranama Centre de Santé,,Sabadou Baranama,GIN00400111,Kankan,GIN004001,Kankan,GIN004,public,,
Sabere-Kalia,,Marella,GIN00300307,Faranah,GIN003003,Faranah,GIN003,public,,
Sagalé Centre de Santé,,Sagale,GIN00600310,Lelouma,GIN006003,Labe,GIN006,public,,
Saint Alexis,,Siguiri Ctre,GIN00400511,Siguiri,GIN004005,Kankan,GIN004,public,,
Saint Gabriel,,Matoto,GIN00200104,Conakry,GIN002001,Conakry,GIN002,prive,,
Sakourala Centre,,Sakourala,GIN00800112,Beyla,GIN008001,Nzerekore,GIN008,public,,
Sala,,Popodara,GIN00600211,Labe,GIN006002,Labe,GIN006,public,,
Saladou Centre de Santé,,Saladou,GIN00400411,Mandiana,GIN004004,Kankan,GIN004,public,,
Salamani (Kankan-Salamani) Centre de Santé,,Kankan Ctre,GIN00400105,Kankan,GIN004001,Kankan,GIN004,public,,
Salambandé,,Salambande,GIN00600410,Mali,GIN006004,Labe,GIN006,public,,
Samana,,Samana,GIN00800113,Beyla,GIN008001,Nzerekore,GIN008,public,,
Sambaldé,,Sambailo,GIN00100404,Koundara,GIN001004,Boke,GIN001,public,,
Sandaly,,Parawol,GIN00600309,Lelouma,GIN006003,Labe,GIN006,public,,
Sandanfara,,Dialokoro,GIN00400402,Mandiana,GIN004004,Kankan,GIN004,,,
Sandenia Centre de Santé,,Sandenia,GIN00300309,Faranah,GIN003003,Faranah,GIN003,public,,
Sandia Snoeren,,Ratoma,GIN00200105,Conakry,GIN002001,Conakry,GIN002,prive,,
Sangardo 2 Centre de Santé,,Sangardo,GIN00300411,Kissidougou,GIN003004,Faranah,GIN003,public,,
Sangarédi,,Sangaredi,GIN00100208,Boke,GIN001002,Boke,GIN001,public,,
Sangolomè,,Yombiro,GIN00300413,Kissidougou,GIN003004,Faranah,GIN003,public,,
Sangouya Centre,,Kansangui,GIN00600503,Tougue,GIN006005,Labe,GIN006,public,,
Sangoya,,Kindia Ctre,GIN00500404,Kindia,GIN005004,Kindia,GIN005,public,,
Sanguédou,,Koundou,GIN00800206,Gueckedou,GIN008002,Nzerekore,GIN008,public,,
Sanguiana Centre de Santé,,Sanguiana,GIN00400312,Kouroussa,GIN004003,Kankan,GIN004,public,,
Sannou Centre de Santé,,Sannou,GIN00600212,Labe,GIN006002,Labe,GIN006,public,,
Sanoyah,,Maneah,GIN00500103,Coyah,GIN005001,Kindia,GIN005,public,,
Sansalé,,Sansale,GIN00100209,Boke,GIN001002,Boke,GIN001,public,,
Sansanko,,Passaya,GIN00300308,Faranah,GIN003003,Faranah,GIN003,public,,
Santé Arc-En-Ciel,,Ratoma,GIN00200105,Conakry,GIN002001,Conakry,GIN002,prive,,
Santé Forces Armées Camp Alpha Yaya,,Matoto,GIN00200104,Conakry,GIN002001,Conakry,GIN002,public,,
Santiguia,,Malea,GIN00400506,Siguiri,GIN004005,Kankan,GIN004,public,,
Saoro,,Diecke,GIN00800605,Yomou,GIN008006,Nzerekore,GIN008,public,,
Saramoussaya,,Saramoussaya,GIN00700210,Mamou,GIN007002,Mamou,GIN007,public,,
Saréboïdo Centre de Santé,,Sareboido,GIN00100405,Koundara,GIN001004,Boke,GIN001,public,,
Sarékaly,,Dalein,GIN00600201,Labe,GIN006002,Labe,GIN006,public,,
Sarékaly,,Sarekali,GIN00500509,Telimele,GIN005005,Kindia,GIN005,public,,
Sassama Kama,,Tekoulo,GIN00800209,Gueckedou,GIN008002,Nzerekore,GIN008,public,,
Saténèya,,Kolaboui,GIN00100206,Boke,GIN001002,Boke,GIN001,public,,
Satina,,Popodara,GIN00600211,Labe,GIN006002,Labe,GIN006,public,,
Secteur 2 - Banankoro Centre de Santé,,Banankoro,GIN00400201,Kerouane,GIN004002,Kankan,GIN004,public,,
Secteur 5 Villa Sylli,,Dinguiraye Ctre,GIN00300204,Dinguiraye,GIN003002,Faranah,GIN003,public,,
Sélouma-Centre,,Selouma,GIN00300208,Dinguiraye,GIN003002,Faranah,GIN003,public,,
Sempeten,,Hafia,GIN00600206,Labe,GIN006002,Labe,GIN006,public,,
Sengouma,,Dionfo,GIN00600204,Labe,GIN006002,Labe,GIN006,public,,
Sennadè,,Bouliwel,GIN00700201,Mamou,GIN007002,Mamou,GIN007,public,,
Seracco,,Kindia Ctre,GIN00500404,Kindia,GIN005004,Kindia,GIN005,public,,
Sèrèkoro-Centre,,Beindou,GIN00300302,Faranah,GIN003003,Faranah,GIN003,public,,
Séria,,Donghol Sigon,GIN00600402,Mali,GIN006004,Labe,GIN006,public,,
Serima,,Popodara,GIN00600211,Labe,GIN006002,Labe,GIN006,public,,
Sériya,,Donghol Sigon,GIN00600402,Mali,GIN006004,Labe,GIN006,public,,
SESIR,,Ratoma,GIN00200105,Conakry,GIN002001,Conakry,GIN002,prive,,
Sianfran,,Kassadou,GIN00800205,Gueckedou,GIN008002,Nzerekore,GIN008,public,,
Sibiribaro Centre de Santé,,Sibiribaro,GIN00400207,Kerouane,GIN004002,Kankan,GIN004,public,,
Sidikila,,Balandougouba,GIN00400401,Mandiana,GIN004004,Kankan,GIN004,public,,
Sigon,,Donghol Sigon,GIN00600402,Mali,GIN006004,Labe,GIN006,public,,
Siguirikoro 1(Falaye Traoré) Centre de Santé,,Siguiri Ctre,GIN00400511,Siguiri,GIN004005,Kankan,GIN004,public,,
Siguirikoura 1 Centre de Santé,,Siguiri Ctre,GIN00400511,Siguiri,GIN004005,Kankan,GIN004,public,,
Siguirini Centre de Santé,,Doko,GIN00400502,Siguiri,GIN004005,Kankan,GIN004,public,,
Silaty,,Tarihoye,GIN00500512,Telimele,GIN005005,Kindia,GIN005,public,,
Simiby,,Fafaya,GIN00600101,Koubia,GIN006001,Labe,GIN006,public,,
Sino Guineen,,Ratoma,GIN00200105,Conakry,GIN002001,Conakry,GIN002,public,,
Sinta,,Sinta,GIN00500510,Telimele,GIN005005,Kindia,GIN005,public,,
Sinthian-Pathé,,Kamabi,GIN00100402,Koundara,GIN001004,Boke,GIN001,public,,
Sinthiou-Wara,,Kakony,GIN00100303,Gaoual,GIN001003,Boke,GIN001,public,,
Siraya,,Kollet,GIN00500505,Telimele,GIN005005,Kindia,GIN005,public,,
Sirkouldou,,Soromaya,GIN00400208,Kerouane,GIN004002,Kankan,GIN004,public,,
Sodiorè,,Banguigny,GIN00100502,Fria,GIN001005,Boke,GIN001,public,,
Sogbè -  Sansando Centre de Santé,,Sansando,GIN00400412,Mandiana,GIN004004,Kankan,GIN004,public,,
Sogoloou,,Konsankoro,GIN00400205,Kerouane,GIN004002,Kankan,GIN004,public,,
Soïla,,Bate Nafadji,GIN00400102,Kankan,GIN004001,Kankan,GIN004,public,,
SOLABGUI,,Matam,GIN00200103,Conakry,GIN002001,Conakry,GIN002,prive,,
SOLABGUI,,Matoto,GIN00200104,Conakry,GIN002001,Conakry,GIN002,prive,,
SOLABGUI,,Ratoma,GIN00200105,Conakry,GIN002001,Conakry,GIN002,prive,,
Soloya Non Fonctionnel,,Marella,GIN00300307,Faranah,GIN003003,Faranah,GIN003,public,,
Soluta Nord,,Soulouta,GIN00800509,Nzerekore,GIN008005,Nzerekore,GIN008,public,,
Sonifanyo,,Yombiro,GIN00300413,Kissidougou,GIN003004,Faranah,GIN003,public,,
Soopa,,Diecke,GIN00800605,Yomou,GIN008006,Nzerekore,GIN008,public,,
Soromaya Centre de Santé,,Soromaya,GIN00400208,Kerouane,GIN004002,Kankan,GIN004,public,,
Soubekindi,,Diatifere,GIN00300203,Dinguiraye,GIN003002,Faranah,GIN003,public,,
Soucka,,Sangaredi,GIN00100208,Boke,GIN001002,Boke,GIN001,public,,
Sougoula,,Siguiri Ctre,GIN00400511,Siguiri,GIN004005,Kankan,GIN004,public,,
Souhoulé,,Soulouta,GIN00800509,Nzerekore,GIN008005,Nzerekore,GIN008,public,,
Soulakolo,,Kondiadou,GIN00300409,Kissidougou,GIN003004,Faranah,GIN003,public,,
Souleymania Centre,,Heremakono,GIN00300305,Faranah,GIN003003,Faranah,GIN003,public,,
Soumankoi,,Karifamoriah,GIN00400106,Kankan,GIN004001,Kankan,GIN004,public,,
Soumassaniah,,Banankoro,GIN00400201,Kerouane,GIN004002,Kankan,GIN004,public,,
Soumbalako Tokossèrè,,Bouliwel,GIN00700201,Mamou,GIN007002,Mamou,GIN007,public,,
Soumbarakoba,,Doko,GIN00400502,Siguiri,GIN004005,Kankan,GIN004,public,,
Soumbarakolen,,Doko,GIN00400502,Siguiri,GIN004005,Kankan,GIN004,public,,
Soumbaraya,,Naboun,GIN00400507,Siguiri,GIN004005,Kankan,GIN004,public,,
Soumtou,,Bolodou,GIN00800201,Gueckedou,GIN008002,Nzerekore,GIN008,public,,
Sowadou,,Fangamadou,GIN00800202,Gueckedou,GIN008002,Nzerekore,GIN008,public,,
Soyah,,Soyah,GIN00700211,Mamou,GIN007002,Mamou,GIN007,public,,
Taadi,,Kouria,GIN00500102,Coyah,GIN005001,Kindia,GIN005,public,,
Tabossy,,Fria Ctre,GIN00100503,Fria,GIN001005,Boke,GIN001,public,,
Taganya-Centre,,Marella,GIN00300307,Faranah,GIN003003,Faranah,GIN003,public,,
Taïgbé,,Kamsar,GIN00100204,Boke,GIN001002,Boke,GIN001,public,,
Tamagaly,,Kounkoure,GIN00700205,Mamou,GIN007002,Mamou,GIN007,public,,
Tamita,,Tamita,GIN00100107,Boffa,GIN001001,Boke,GIN001,public,,
Tamoé,,Gouecke,GIN00800502,Nzerekore,GIN008005,Nzerekore,GIN008,public,,
Tanah,,Kaliah,GIN00500307,Forecariah,GIN005003,Kindia,GIN005,public,,
Tanènè,,Kindia Ctre,GIN00500404,Kindia,GIN005004,Kindia,GIN005,public,,
Tangali,,Tangali,GIN00600509,Tougue,GIN006005,Labe,GIN006,public,,
Tangan,,Maci,GIN00700306,Pita,GIN007003,Mamou,GIN007,public,,
Taoulela,,Macenta Ctre,GIN00800408,Macenta,GIN008004,Nzerekore,GIN008,public,,
Tarambaly,,Dionfo,GIN00600204,Labe,GIN006002,Labe,GIN006,public,,
Tarihoye,,Tarihoye,GIN00500512,Telimele,GIN005005,Kindia,GIN005,public,,
Tarihoye Hassane,,Telemele Ctre,GIN00500513,Telimele,GIN005005,Kindia,GIN005,public,,
Tatagui,,Forecariah Ctre,GIN00500304,Forecariah,GIN005003,Kindia,GIN005,public,,
Tatéma,,Koba Tatema,GIN00100103,Boffa,GIN001001,Boke,GIN001,,,
Téguéréya,,Teguereyah,GIN00700212,Mamou,GIN007002,Mamou,GIN007,public,,
Telebadou,,Banama,GIN00300402,Kissidougou,GIN003004,Faranah,GIN003,public,,
Telimélé Treatment Centre,,Telemele Ctre,GIN00500513,Telimele,GIN005005,Kindia,GIN005,public,,
Téliré,,Telire,GIN00600411,Mali,GIN006004,Labe,GIN006,public,,
Termessè,,Termesse,GIN00100406,Koundara,GIN001004,Boke,GIN001,public,,
Thionthian Centre de Santé,,Thionthian,GIN00500514,Telimele,GIN005005,Kindia,GIN005,public,,
Tianguel Bori,,Tianguel Bori,GIN00600311,Lelouma,GIN006003,Labe,GIN006,public,,
Tigué,,Fria Ctre,GIN00100503,Fria,GIN001005,Boke,GIN001,public,,
Tintinoulen Centre de Santé,,Tinti Oulen,GIN00400112,Kankan,GIN004001,Kankan,GIN004,public,,
Tiro Centre de Santé,,Tiro,GIN00300311,Faranah,GIN003003,Faranah,GIN003,public,,
Togbanata,,Lola Ctre,GIN00800307,Lola,GIN008003,Nzerekore,GIN008,public,,
Togobala Centre,,Koumandou,GIN00800109,Beyla,GIN008001,Nzerekore,GIN008,public,,
Togui-Fing,,Kiniebakoura,GIN00400504,Siguiri,GIN004005,Kankan,GIN004,public,,
Tokounou Centre de Santé,,Tokounou,GIN00400113,Kankan,GIN004001,Kankan,GIN004,public,,
Tolo,,Bouliwel,GIN00700201,Mamou,GIN007002,Mamou,GIN007,public,,
Tôlon,,Tountourou,GIN00600213,Labe,GIN006002,Labe,GIN006,public,,
Tomboko,,Doko,GIN00400502,Siguiri,GIN004005,Kankan,GIN004,public,,
Tombolia,,Matoto,GIN00200104,Conakry,GIN002001,Conakry,GIN002,public,,
Tomboni,,Niagassola,GIN00400508,Siguiri,GIN004005,Kankan,GIN004,public,,
Tondo,,Niagassola,GIN00400508,Siguiri,GIN004005,Kankan,GIN004,public,,
Tonon,,Gueasso,GIN00800304,Lola,GIN008003,Nzerekore,GIN008,public,,
Tormelin,,Tormelin,GIN00100504,Fria,GIN001005,Boke,GIN001,public,,
Tossokéré,,Diontou,GIN00600302,Lelouma,GIN006003,Labe,GIN006,public,,
Tougnifily,,Tougnifily,GIN00100108,Boffa,GIN001001,Boke,GIN001,public,,
Tougué,,Tougue Ctre,GIN00600510,Tougue,GIN006005,Labe,GIN006,public,,
Toulel,,Banguigny,GIN00100502,Fria,GIN001005,Boke,GIN001,public,,
Toumania,,Kollet,GIN00500505,Telimele,GIN005005,Kindia,GIN005,public,,
Tounkarata,,Tounkarata,GIN00800309,Lola,GIN008003,Nzerekore,GIN008,public,,
Tounory,,Kaalan,GIN00600207,Labe,GIN006002,Labe,GIN006,public,,
Tountouroun Centre de Santé,,Tountourou,GIN00600213,Labe,GIN006002,Labe,GIN006,public,,
Trakore,,Fermessadou,GIN00300405,Kissidougou,GIN003004,Faranah,GIN003,public,,
Trypano,,Pita Ctre,GIN00700308,Pita,GIN007003,Mamou,GIN007,public,,
Tyaghé,,Pita Ctre,GIN00700308,Pita,GIN007003,Mamou,GIN007,public,,
Tyapata-Missidé,,Bantignel,GIN00700301,Pita,GIN007003,Mamou,GIN007,public,,
Université Gamal,,Dixinn,GIN00200101,Conakry,GIN002001,Conakry,GIN002,public,,
Université Sonfonia,,Ratoma,GIN00200105,Conakry,GIN002001,Conakry,GIN002,public,,
Urgence Health and medical,,Kissidougou Ctre,GIN00300408,Kissidougou,GIN003004,Faranah,GIN003,public,,
Walia,,Kolente,GIN00500405,Kindia,GIN005004,Kindia,GIN005,public,,
Wansan,,Dougountouny,GIN00600403,Mali,GIN006004,Labe,GIN006,public,,
Wansan,,Timbi Touni,GIN00700312,Pita,GIN007003,Mamou,GIN007,public,,
Wendou Feto Centre,,Herico,GIN00600303,Lelouma,GIN006003,Labe,GIN006,public,,
Wéyakoré,,Lola Ctre,GIN00800307,Lola,GIN008003,Nzerekore,GIN008,public,,
Wolola,,Balandougouba,GIN00400401,Mandiana,GIN004004,Kankan,GIN004,public,,
Wondekèrè,,Bardou,GIN00300403,Kissidougou,GIN003004,Faranah,GIN003,public,,
Wondetoh,,Yende Millimou,GIN00300412,Kissidougou,GIN003004,Faranah,GIN003,public,,
Wondetty,,Lisso,GIN00100105,Boffa,GIN001001,Boke,GIN001,public,,
Worokoro,,Banankoro,GIN00400201,Kerouane,GIN004002,Kankan,GIN004,public,,
Woundédou,,Ouende Kenema,GIN00800208,Gueckedou,GIN008002,Nzerekore,GIN008,public,,
Wounduya,,Hidayatou,GIN00600406,Mali,GIN006004,Labe,GIN006,public,,
Yakouda-Centre,,Doura,GIN00400307,Kouroussa,GIN004003,Kankan,GIN004,public,,
Yalakpala,,Koule,GIN00800505,Nzerekore,GIN008005,Nzerekore,GIN008,public,,
Yalakpalé,,Bowe,GIN00800604,Yomou,GIN008006,Nzerekore,GIN008,public,,
Yapangaye,,Boola,GIN00800102,Beyla,GIN008001,Nzerekore,GIN008,public,,
Yardo,,Kondiadou,GIN00300409,Kissidougou,GIN003004,Faranah,GIN003,public,,
Yassardou,,Albadariah,GIN00300401,Kissidougou,GIN003004,Faranah,GIN003,public,,
Yattaya,,Bangouya,GIN00500401,Kindia,GIN005004,Kindia,GIN005,public,,
Yékherakhidé,,Tormelin,GIN00100504,Fria,GIN001005,Boke,GIN001,public,,
Yembering,,Yimbering,GIN00600413,Mali,GIN006004,Labe,GIN006,public,,
Yende-Millimou Centre de Santé,,Yende Millimou,GIN00300412,Kissidougou,GIN003004,Faranah,GIN003,public,,
Yènèta,,Kokota,GIN00800305,Lola,GIN008003,Nzerekore,GIN008,public,,
Yénguiakhöry,,Wonkifong,GIN00500104,Coyah,GIN005001,Kindia,GIN005,public,,
Yènguissa Centre,,Tamita,GIN00100107,Boffa,GIN001001,Boke,GIN001,public,,
Yéniah Centre,,Kakossa,GIN00500306,Forecariah,GIN005003,Kindia,GIN005,public,,
Yétiya,,Kaback,GIN00500305,Forecariah,GIN005003,Kindia,GIN005,public,,
Yirgo Boussara,,Gongoret,GIN00700203,Mamou,GIN007002,Mamou,GIN007,,,
Yomadou,,Albadariah,GIN00300401,Kissidougou,GIN003004,Faranah,GIN003,public,,
Yomadou 2,,Kassadou,GIN00800205,Gueckedou,GIN008002,Nzerekore,GIN008,public,,
Yomadou Koundoufama,,Termassadou,GIN00800210,Gueckedou,GIN008002,Nzerekore,GIN008,public,,
Yomata,,Womey,GIN00800510,Nzerekore,GIN008005,Nzerekore,GIN008,public,,
Yomou Transit Centre,,Yomou Ctre,GIN00800607,Yomou,GIN008006,Nzerekore,GIN008,public,,
Youkounkoun,,Youkounkoun,GIN00100407,Koundara,GIN001004,Boke,GIN001,public,,
Yowa,,Banie,GIN00800601,Yomou,GIN008006,Nzerekore,GIN008,public,,
Zabia,,Yomou Ctre,GIN00800607,Yomou,GIN008006,Nzerekore,GIN008,public,,
Zatioula (Communautaire),,Nongoa,GIN00800207,Gueckedou,GIN008002,Nzerekore,GIN008,public,,
Zèssou,,Gueasso,GIN00800304,Lola,GIN008003,Nzerekore,GIN008,public,,
Zinigorozou,,Dialokoro,GIN00400402,Mandiana,GIN004004,Kankan,GIN004,public,,
Zobroma,,Ouremai,GIN00800410,Macenta,GIN008004,Nzerekore,GIN008,public,,
Zogota,,Kobela,GIN00800503,Nzerekore,GIN008005,Nzerekore,GIN008,public,,
Zougouéta,,Lola Ctre,GIN00800307,Lola,GIN008003,Nzerekore,GIN008,public,,
